评论id,评论内容,状态
318817291_33,脸型发型在努力靠近了，痞帅风；看预告感觉陈老师打扮得挺潮的；还行。陈老年之后脸上的肉变少，棱角挺分明的；其实这部韩东君略比装腔里面胖一点。,新增
319243248_5,周雨彤演年轻吴丽梅简直是惊艳，又好看又演得好，非常用心。她在这部剧中的演技自然得不像话，已经成功挽回了我看她之前作品后的负面印象。周姐演技很棒，挑任何一个有她的片段都能津津有味地看下去，表演生动、抓人眼球，很有天赋。从《相爱穿梭千年》到如今，她的进步确实吓人，演技提升非常明显。,新增
319246594_34,顾云苏是普通女生的缩影，角色真实、有共鸣，展现了年轻女性在原生家庭影响下的不安全感和亲密关系困境。周雨彤将人物演绎得细腻，情感表达到位，尤其吵架戏份极具感染力，很好地呈现了长期压抑情绪的爆发。剧集对家庭矛盾和心理细节的刻画深刻，能引发观众强烈共情。,新增
319243248_4,KTV吵架那段情绪拿捏得非常到位，好几个片段都看哭了，周雨彤天生就是做演员的料，爆发力很强。尤其是演年轻吴俪梅，模仿吴越说话的语调非常像，演技进步明显。青年吴俪梅这个角色演得特别棒，一哭就让人心疼，把单亲妈妈没有退路的情绪演绎得令人眼眶湿润。顾云苏和吴俪梅两个角色都鲜活立体，一人分饰两角完全不串戏，拿捏到位。周雨彤踏实演戏，台词和表演越来越有层次，每个角色都像真实存在，内心戏透彻，是90后演员中的佼佼者。整部剧所有演员演技在线，片头设计用心，剧集整体美术与表演相得益彰。,新增
319311077_13,我也喜欢这个情节，她是个人，一个母亲/主妇，也是个人。这个设置确实蛮好的，就也是很多家庭主妇面临的现实困境吧。不是因为顾康旗犯了什么错才要离婚，是吴俪梅觉得他已经不再听她说话，想把她圈养起来，并且对于问题一直逃避忽视，不想和他过了而离婚。,新增
319311077_12,剧本设置很好，突出了女性在婚姻中以自我感受为先的觉醒，没有依赖出轨、家暴等传统狗血情节，而是展现了一个女性因长期情感忽视和孤独选择离婚，真实且有力度。吴俪梅怀孕和离婚的决定体现‘爱人之前先爱己’，在那个年代尤为难得。剧集对‘我本位’的刻画深刻，挑战了社会对女性婚姻隐忍的期待，令人共鸣。美术、时代氛围还原到位，角色塑造真实，表演细腻，整体剧作质量高。,新增
319239987_29,连追四集，太精彩了，周雨彤一人分饰两角，拿捏到位，绝不串戏，感觉她演技又进步了！好剧好演员，值得推荐！说实话前四集特别好。剧情搞笑，演的也搞笑；节奏快，故事有矛盾冲突，有人物纠结，剧本很好！周雨彤演的也很好，最让我惊喜的是演“妈妈”的时候，她在模仿吴越老师的说话方式，演得非常好。都市剧简直是她的舒适区，真的很厉害，再一次惊艳我了。如果有机会，我希望还可以看到她其他方面的题材剧。180天重启计划超级好看，周雨彤演得太好了。,新增
319333069_41,主角演得很精彩，年轻版妈妈和女主虽然是一个人演的，但完全呈现了两种性格，妈妈更感性，女主偏理性。穿插两辈人的叙事方式有人觉得混乱，看到第五集就开始走神，剧情被打散影响观感；但也有人认为这是亮点，母女对应、经历相似事情的结构能带动情绪，两边都能引发共鸣。整体评价认为剧集质量不错，剧情有深度，表演细腻，尽管叙事节奏存在争议，但整体非常棒。,新增
319335376_23,构不成抄袭，但应该是借鉴；也算不上抄袭，因为台词所要表达的意思和前后语境都不同，可能是主创有意识地致敬或玩梗；类似‘人生就像巧克力’这样的经典台词被引用不会被认为是抄袭，更多是致敬；导演有喜欢致敬的风格，比如李叔虚焦致敬伍迪艾伦，青年父母骑摩托车致敬《天若有情》。,新增
319396444_2,我觉得挺好的，可能千人千味吧；在舒适区很好，但是演青年吴俪梅很差；没觉得，我觉得演得很好；我觉得进步神速；周雨彤演得太好了，不管是青年吴丽梅还是顾云苏，完全不串戏；没觉得，演技一直很好，爱情而已也不错。,新增
319400126_36,外婆去世的剧情安排在女主与甲方讨论强情节剧本的时刻，形成了一种讽刺性的对照，突显了现实中的痛苦与创作中追求戏剧冲突的矛盾，具有深刻的情感冲击力。剧中通过细节如胸闷、气短、脸色异常等铺垫了外婆的身体状况，使死亡虽显突然但有一定伏笔，体现了剧本在情感节奏和人物关系处理上的细腻。,新增
319396444_3,我反而感觉她演吴俪梅演得很好，更喜欢她演的俪梅而不是苏苏；不觉得演技差，演得真好；没觉得，觉得挺好的；她演技差那演技好的真没剩几个了；如果她的演技算差那内娱里演技好的也没几位了；她人品确实很差，但演技没的说；我觉得非常好；没觉得，感觉很真实；我觉得她演技好好，很自然，没有很用力的感觉，就很自然很舒服；不觉得，我觉得她演得挺好的；我反倒觉得这片子她演技有突破，之前的没有这个惊艳，这两个角色不同时期的状态拿捏得很到位；演的很好，苏苏和年轻的吴丽梅差异明显，让人完全忘了是同一个人演的；看要跟谁比，在我这她是算差的，但是比如今在内娱的小花强很多，她是及格线；我觉得她演技一直很一般，现在演技好的演员太少了。,新增
319406829_24,周雨彤在《180天重启计划》中饰演的吴俪梅，其表演方式与她在其他都市剧中的角色有所不同，并未让我感到跳戏；尽管演员难免带有个人特质，但她的演绎具有区分度。认为吴俪梅是‘女权表演艺术家’的说法令人费解，该角色对被爱和生育的执着反而显得较为传统；她表达想上班、感觉被困住的情节更多体现的是现实困境而非女权姿态。质疑者痛心疾首的点可能在于角色设定本身，而非演员的表演。,新增
319363418_37,周雨彤在演绎青年吴俪梅时，有刻意模仿吴越老师的小动作和说话方式，但这种形似并未带来神似，导致青年与中年吴俪梅之间缺乏连贯性，角色塑造显得割裂。部分观众认为她对声音和语气的模仿过于刻意，反而影响观感，未能真正展现吴俪梅的核心特质。尽管有人肯定她在情感爆发和母女互动中的表现，整体前后状态对比有一定层次，但仍有不少观众指出闪回过多、表演风格不统一，削弱了剧集的沉浸感。此外，剧本安排大量青年戏份是否合理，以及人物前后期性格转变是否自然，也成为争议焦点。总体而言，演员的表演存在争议，关键在于是否成功塑造了一个完整、统一的角色形象，而非单纯模仿外形或神态。,新增
319412254_20,周雨彤演技挺好的，讲话的方式和中年妈妈很像，语调可爱，神态和声音都像吴越老师，演出了从可爱到醒悟的转变，演技让人惊喜，越来越稳，是剧集的最大亮点。,新增
319406829_25,青年部分给人强烈的割裂感，难以共情，可能是导演、编剧或演员的问题。周雨彤在演绎青年吴俪梅时面临很大挑战，既要与吴越饰演的中年吴俪梅有关联度，又要与女儿角色有区分，整体表现尚可，但角色内核衔接不够自然。有观众认为周雨彤演得不错，甚至比顾云苏更出彩，神态语气也贴近吴越；也有人认为青年吴俪梅的塑造过于悬浮，台词虽符合当下女性观众喜好，但与中年角色内核变化太大，缺乏一致性。编剧在剧情设计上存在强冲突、刻意化问题，影响了人物塑造的信服力。,新增
