评论id,评论内容,状态
2111833294,每一个镜头都是艺术，致敬所有演职人员，所有主创！每一个演员的台词，表情，都仿佛让人回到了那个年代,已有
2256668716,很遗憾 支离破碎的剧情+幼稚的演技=失望/无聊,已有
2269407854,好久没看过质量这么高的剧了 主演李现 还有其他全体演员演技都很好 剧情也很喜欢,已有
2276939418,李现的大男主剧，感觉从这部剧当中成长了不少，好演员是会对好剧有所追求的,已有
2329968943,节奏不对，前半在日的部分太拖沓了，最后几集又拉得特别快，几个主要角色塑造得都挺失败的，特别是男主。春夏周游白客挺出彩的。,已有
2380581366,反对又是浪漫化强奸，从强奸的拍法、到剧情铺垫、男女主之间暧昧纠葛，影视剧能不能别再给强奸行为强行加滤镜了？,已有
2574009239,拉胯的演技更容易产生“间离”效果，让人可以透过现象看本质，看到剧本想传达的价值观。这剧越看到后面越觉得什么人物动机什么演技，完全没有分析和讨论的必要。制作再牛x也不能掩盖糖包💩的本质。,已有
2589566660,细糠，细得令人发指的细,已有
2761817584,历史需要辩证着两面看,已有
2850741162,编剧江奇涛的封山之作，可以说是国产历史剧的一声‘绝响’了，以后很难再有这样的历史剧了。服化道和历史细节的还原度99%。清末民初题材的剧不算多，这部是全景式地还原。主角原型故事可以看看2011年纪录片《辛亥》的第三集《车站》。,已有
2862649376,一鼓作气，再而衰，三而竭,已有
2928285513,梁乡的成长，在那个特定的历史背景之下，有抱负，也有无奈,已有
2945893839,朱亚文的角色令人反感,已有
2959868302,画质太差～,已有
3027896750,不好看,已有
3131657496,第二部延续了第一部的高质量，原班人马让人回味，编剧用心，期待第三部。,已有
3217633125,第二季画面和情节更加轻快，案件贴近当下生活，在轻松氛围中了解诈骗手段，观看体验良好。呱嗒的角色很可爱。,已有
3235713357,比第一部好看，案子有意思，喜剧笑果也更上一层楼。女徒弟徐蔓这个角色很棒，有勇有谋，会格斗，骑摩托车的时候也太飒了！李之夏演得挺好！期待第三部，小吕和小徐多一些互动。这CP我磕了。😛😛😛,已有
3280729698,质感不错,已有
3305366304,宋祖儿长得漂亮演技还好，半夏看上去娇娇滴滴很柔弱但是很聪明有主见，还很勇敢。男主原声我觉得还行，宣夜真的很落地，粗粗糙糙的就真的很像一个捉妖师的状态。导演也很会导，人物的妆造朴实落地有实感。美术真的很牛逼。题材不是千篇一律的仙侠宅斗大女主，每个单元剧情和主线都能串起来融会贯通，看得很舒服,已有
3319855615,33集这个台词谁编的，每一句都是在说，对，手就是你弄伤的，就是你。打戏拉跨，特效搞笑，男女主幼儿园般的台词。某几个故事还是可以的，三星半，跟莲花楼一个水平,已有
3344483606,男主角演技很一般 浮于表面不够投入 接不住戏 女主哭戏不错 结局真的垃圾,已有
3350932970,任嘉伦实在和宋祖儿没有cp感。。。剧本也有点登味儿。//为什么硬搞个be的结局。。。,已有
3357725644,写历史剧总觉得是个手工艺活儿，以后很可能失传，想到以后看到的机会越来越少，不由得失落。台词写得非常好，信手拈来，大事件的来龙去脉就在这些日常对话里。人物也极有代表性，生动、鲜活、多面，男主的设置一般的编剧不敢这么写。旧民主主义革命本来就是一部失败史，本剧也是一部失败者的挽歌，仅道德的批判无法理解人物的复杂性。,已有
3362200815,时隔五年的续作，接地气的同时，还增添了很多活力的感觉，整体既有紧张刺激，也有轻松活泼。三叉戟老三位依然配合默契，办案子干净利落。这一部没有了上一部不太受喜欢的部分，反而增添了一位新成员，收了新徒弟，将更多篇幅完全放在了三叉戟身上以及办案过程中，非常不错。从第一集一个小小的传销一点点抽丝剥茧，查出了连环案，故事和剧本非常扎实，整体连续性非常强，追剧有种爽感。,已有
3382875416,"盼星星盼月亮的 结果这看完了有一种""就这""的感觉",已有
3385672394,不愧是李现，口碑保证,已有
3398457834,说一句晚清版“大如传”也不为过。本身我对这个题材非常感兴趣，被埋的这几年感觉很可惜。但是播出的效果实在差强人意，画面制作看着很精良，然而主角团演的太差了，像是表演学院的毕业大作业，眼神木木的，全靠背台词输出，根本感受不到人物在想什么。而且故事情节也很弱，前二十集都没什么起伏和重点，有些人物根本没有出场的必要，实在很难吸引人看下去。更不要说还夹带了很多匪夷所思、充满争议的情节。,已有
3399700975,志怪单元聊斋剧，配乐、镜头、打光都非常不错！人面鸮有个俯拍镜头真的很绝，碧玉梨追着问吃不吃梨那里真的很吓人；凤五娘演员演技厉害，木偶演得入木三分；意外的是画中世界那一趴巨搞笑。能看出剧组是想认真做剧的，美术、服装、道具也都颇具质感。男女主演技真的势均力敌。,已有
3409399120,春夏线真不太行，剧情也很流水账,已有
3423215749,新版改了人名，台词，有些地方演员口型明显和台词对不上。人设是杨凯之最好，女主秋红也最终和他一起并肩而行。革命理论不成熟，因为不关注民生，没有联合底层。,已有
3423651297,好看，更上一层楼,已有
3426387945,拍得认真讲究，制作是有质感的。可惜这内容，不是面向大众的，赶客。吴越、李诚儒、白客真好，反而主角李现、春夏是突兀的，吴大勋好些。再好的制作也撑不起这个故事，表面很装逼骨子里很荒诞，主角人物招人讨厌,已有
3426463712,如果非要让保皇党当主角，其实应该弱化革命党，不要塑造革命党的渣男空想主义者形象，主攻保皇党的爱情，少提保皇党的政治倾向，然后再加一点小坏，让人觉得主角亦正亦邪,已有
3426605400,不算难看，但男角色在干什么不清楚，190x年的大事件全都擦边绕过去了，保皇、革命只停留在表面，看不到价值观碰撞,已有
3426758723,初看质感不错；再看觉得隐性地洗脑女性对男性的服从；看完感受到了对大清朝的惋惜，不愧是曾被下架，虽然删减了很多，仍能看出倾向。,已有
3426997972,一开始觉得好看是因为觉得这个剧挺不走寻常路的，竟然能通过塑造“吴天白”这个角色破除对浪漫爱的幻想。喜欢菽红如野草般的坚韧与旺盛的生命力。但这部剧还是太爱男了。不是不可以写复杂的人性，不可以写不完美的男主角，但是作者要对这个角色有个批判的态度。,已有
3427330256,梁乡不该作为主视角 ，应该是作为副视角比较合适，晚清的腐朽，应该给人民一点点镜头做对比啊。,已有
3427551824,六集过去，也不知道后面怎么发展，感觉这六集叙事节奏忽快忽慢的，画面滤镜氛围配乐还凑合，人物塑造俞实在是太让人不适了，春夏白客周游都挺贴，李现魏大勋也还及格,已有
3429218241,27集李成儒朱亚文的对谈戏精彩,已有
3429877127,最好的当然是菽红，很多集的优劣是以“含红量”来判断的。男性角色们的演技都可以再商榷，李现是最差的那个。朱亚文迷人，复杂的党人之外，他还演出了太宰治和胡兰成。原始剧本全网乱飞，不能确定哪种是更好的呈现。作为那段历史的未来人，直到今天，我们仍不能笃定哪种生、哪种死更有价值,已有
3433695528,人类果然不会从历史吸取教训，历史的车轮只会滚啊滚，滚啊滚，不知什么时候又会滚到原点。,已有
3463105148,奇幻戏的打戏你就这么给我凑合是吧。ost和服化道质感不错,已有
3467530535,只求把删减掉的两个副本放出来,已有
3475444712,老田靠谱，老郭老齐楚呱嗒都在超开心。青年时代的三位特别棒。对女性角色独处片段表示不满，希望增加柳爷、小雪和铁锹哥哥的戏份。崔斌夏静怡的戏份减少是好评。,已有
3560009384,质感真的是太绝了 配乐画面全是一绝 喜欢它在宏大的世界观背景下描绘细碎微小的事情 擦洗地板 晾晒药物 开窗听雨 久宣夜把恣意张扬的自己关闭内心阴雨连绵 依旧松弛抓妖 国超被风吹起的每一缕凌乱的发丝都在撩我 半夏是国超所有剧里最会爱人的伴侣 宣夜有收到满满的爱,已有
3573561749,写得最好的一句台词其实是：你们男人是不是都愿意做这个国家的父亲？,已有
3609369117,服装还原度真的令人佩服，不愧是唐人还是熟悉的味道，主角配角都很喜欢。,已有
3611643336,没什么新意 剧本一般,已有
3612999930,30集以后不知道在讲什么故事，看似很新奇实际很老套的仙侠。,已有
3631194539,白鹿很适合这个角色，质感很好,已有
3631713969,这部剧的底色是温暖，让人看了心里暖暖的，已经好久没有看过这样的剧了，勾起了我的童年回忆，北上告诉我们普通人也是可以当主角的，夏凤华上学的状态简直在演我！一集比一集好看不拖沓，把父母辈赚钱困难的现状演出来了，看得人心里酸酸的，女性也可以撑起一片天。,已有
