关键词,频数,二级,情感
聚焦未成年人犯罪,3.702684696,主题立意,正向
立意是好的,3.552361738,主题立意,正向
反思教育体系缺陷,3.180689277,社会反思,正向
很真实,3.012343148,社会反思,正向
拐卖儿童保护,2.673302732,主题立意,正向
未成年人保护法引发思考,2.673302732,主题立意,正向
关注儿童盗窃,2.673302732,主题立意,正向
关注家暴,2.673302732,主题立意,正向
作为法学生整体很满意,2.673302732,主题立意,正向
现实里热议问题的改编,2.673302732,主题立意,正向
对偷窥犯的处理力度是远远不够,2.379688464,社会反思,负向
法律共同体不是口号,2.36327682,社会反思,负向
这部剧的描述让我担忧,2.36327682,社会反思,负向
儿童盗窃团伙案,2.278878821,社会反思,正向
假大空,2.03880755,主题立意,负向
一部具有教育意义的剧,2.00947128,主题立意,正向
有深度,2.00947128,主题立意,正向
非要塑造无害的受害者,1.997154849,价值导向,负向
丑化被害人家属,1.997154849,价值导向,负向
检察官非得反思自己吗,1.997154849,价值导向,负向
把人民群众刻画的又蠢又极端,1.997154849,价值导向,负向
不是居高临下的灌输,1.86190997,社会反思,正向
不再只是一种情绪的宣泄,1.86190997,社会反思,正向
不认为这些东西有用,1.732867951,主题立意,负向
没有任何意义,1.732867951,主题立意,负向
立意和影响力都差太远,1.732867951,主题立意,负向
甚至不如很多年前拍的,1.732867951,主题立意,负向
浮于表面,1.732867951,主题立意,负向
就是故事而已,1.583434398,思想深度,负向
各个议题均未深入,1.583434398,思想深度,负向
缺乏深入展开,1.583434398,思想深度,负向
严于律己,1.505472394,价值导向,正向
不断预防犯罪,1.505472394,价值导向,正向
有所感受,1.505472394,价值导向,正向
令人感动,1.339006811,思想深度,正向
发人深省的好故事,1.339006811,思想深度,正向
没有妥协,1.339006811,思想深度,正向
专业度和精益求精,1.339006811,思想深度,正向
代入感很强,1.339006811,思想深度,正向
别老翻拍了,1.260267601,主题立意,负向
不要踩踏法律底线,1.239612376,价值导向,正向
告诉未成年人如何保护自己,1.239612376,价值导向,正向
缺乏深度的挖掘,1.199571513,思想深度,负向
整体三观显偏,1.057317273,价值导向,负向
令人难以信服,1.057317273,价值导向,负向
叩击观众内心,1.033034666,思想深度,正向
不美化现实的创作态度,1.033034666,思想深度,正向
一部精彩的作品,1.033034666,思想深度,正向
但这种牺牲并非必要,0.898719682,价值导向,负向
残疾不如弄死,0.898719682,价值导向,负向
一边又用同样手法操控观众情绪,0.898719682,价值导向,负向
结果是二流子男主拯救世界的男本位剧,0.898719682,价值导向,负向
能把这拍出来,0.898719682,价值导向,负向
看了半天以为看大女主检察官,0.898719682,价值导向,负向
可以的,0.898719682,价值导向,负向
剧作一边批判父母以苦难控制孩子,0.898719682,价值导向,负向
情感操控显得无知,0.898719682,价值导向,负向
如主角牺牲健康博取感动,0.898719682,价值导向,负向
影响观感真实度,0.719742908,思想深度,负向
林检察官反省自己对宁关心不够,0.719742908,思想深度,负向
缺乏对受害者家属的心理预期引导,0.719742908,思想深度,负向
隐瞒真相本为保护孩子,0.719742908,思想深度,负向
编剧未能意识到林的行为逻辑与剧中批判的强势母亲相似,0.719742908,思想深度,负向
缺乏对角色内心挣扎的充分挖掘,0.719742908,思想深度,负向
整体量刑建议与判决结果之间的落差处理不够细腻,0.719742908,思想深度,负向
未能深入剖析刑罚判定的标准及其背后的法理依据,0.719742908,思想深度,负向
却导致误解加深,0.719742908,思想深度,负向
导致部分观众仍停留在情绪层面的理解,0.719742908,思想深度,负向
任其惨死,0.718976118,社会反思,负向
不是性侵,0.718976118,社会反思,负向
二应指出,0.718976118,社会反思,负向
你们还渴望什么法律赋予的正义,0.718976118,社会反思,负向
从而更加关注未成年犯罪,0.718976118,社会反思,负向
三要关注未成年犯罪的受害者,0.718976118,社会反思,负向
一要说明法律的不完善,0.718976118,社会反思,负向
人民幸福感安全感正义感不断下降,0.718976118,社会反思,负向
三人结伙对文轩持续殴打侮辱便溺,0.718976118,社会反思,负向
不重判不足以彰显法律威严,0.718976118,社会反思,负向
off一些外界的精英头衔,0.672219444,思想深度,正向
一板一眼是有缘由的,0.672219444,思想深度,正向
不是法律制度,0.672219444,思想深度,正向
